,Reviewer ID,Paper ID,Confidence,Cosine Similarity,Jaccard Similarity
0,d03604e2,3bafbf08,4,0.351128803,0.047120419
1,d03604e2,06df0537,3,0.412237382,0.063829787
2,d03604e2,5f3a799b,4,0.313649319,0.033591731
3,d03604e2,f107ba2d,4,0.33246303,0.055408971
4,3b690058,edbd48c8,4,0.351166965,0.061007958
5,bbaaa300,3bafbf08,5,0.155938471,0.041666667
6,224294ad,c674de1d,5,0.326663392,0.030927835
7,224294ad,5603c330,5,0.322531353,0.049868766
8,224294ad,6dceabd7,5,0.178440071,0.017811705
9,350d0992,5aadb455,3,0.201003878,0.017811705
10,350d0992,e5397f14,4,0.283526479,0.023017903
11,350d0992,7aa75950,4,0.295540091,0.025641026
12,9e0ab072,f05210c5,4,0.286274507,0.038961039
13,9e0ab072,8d89aa70,4,0.262588684,0.047120419
14,9e0ab072,86152212,4,0.298662675,0.038961039
15,9e0ab072,cdc54b58,4,0.355471327,0.049868766
16,2355c13e,f05210c5,5,0.197982286,0.033591731
17,2355c13e,a8abec0b,5,0.198729601,0.047120419
18,2355c13e,343f4d30,4,0.237398818,0.044386423
19,5c9a028a,e168c4a2,5,0.36148181,0.033591731
20,5c9a028a,40a5b90c,5,0.359746474,0.03626943
21,5c9a028a,92cb2f14,5,0.384012841,0.028277635
22,79b02569,643c30f7,3,0.346170029,0.055408971
23,79b02569,3db72604,2,0.284275872,0.033591731
24,79b02569,efe27bdf,4,0.330756027,0.044386423
25,f828dd4c,1ccbff33,4,0.389942455,0.052631579
26,8f13b9a7,d951c24b,4,0.313153854,0.030927835
27,8f13b9a7,fb131bc5,4,0.200857527,0.028277635
28,33b352a3,e053886e,4,0.344131,0.041666667
29,33b352a3,0b14aba2,5,0.489541991,0.078167116
30,33b352a3,84865a87,4,0.420821178,0.078167116
31,33b352a3,be37cceb,3,0.414386326,0.063829787
32,3c8ac536,9c321150,5,0.469151541,0.08401084
33,3c8ac536,8f8541b0,4,0.468078518,0.08401084
34,ed02c1b1,8bd4964d,4,0.317538373,0.028277635
35,ed02c1b1,bc7dea13,4,0.295153854,0.025641026
36,ed02c1b1,bb85a0a8,4,0.419227919,0.044386423
37,b8104020,0dcff5a4,5,0.247691477,0.030927835
38,b8104020,947de04b,4,0.339541436,0.044386423
39,b8104020,00aae04a,4,0.427696137,0.044386423
40,06a2f162,9a6398cf,4,0.158687684,0.015228426
41,06a2f162,7c73947f,4,0.279233,0.030927835
42,3a579790,dc2de67e,4,0.256369051,0.028277635
43,3a579790,58f27b54,4,0.264654208,0.033591731
44,e8746cb9,00819bed,3,0.210659897,0.023017903
45,e8746cb9,0e19c6d7,4,0.332288822,0.041666667
46,e8746cb9,ef76d932,3,0.261174859,0.033591731
47,b1919f31,86152212,4,0.404127189,0.052631579
48,b1919f31,6dceabd7,4,0.291998451,0.025641026
49,596220f6,00819bed,3,0.130835934,0.015228426
50,596220f6,f8b2a0e3,3,0.145885471,0.015228426
51,d8d7d2a4,e63006bd,3,0.23983752,0.025641026
52,d8d7d2a4,7423155e,4,0.216400008,0.025641026
53,777faedd,3673a16a,5,0.246734769,0.025641026
54,777faedd,5603c330,4,0.265623878,0.033591731
55,ed5a1b95,8bd4964d,4,0.422672003,0.061007958
56,ed5a1b95,ee2c7bfa,4,0.397935041,0.066666667
57,34482a19,06df0537,4,0.333621621,0.044386423
58,34482a19,dfa5d1ce,4,0.297901237,0.03626943
59,1c6e9622,5f3a799b,4,0.390729144,0.03626943
60,1c6e9622,f107ba2d,4,0.425540943,0.049868766
61,1c6e9622,36216009,4,0.365127254,0.038961039
62,2bc7b731,9a6398cf,4,0.303992804,0.030927835
63,f1df2fb0,0dcff5a4,4,0.204442758,0.017811705
64,f1df2fb0,643c30f7,4,0.357140596,0.063829787
65,f1df2fb0,1aaf1991,5,0.205819734,0.033591731
66,f1df2fb0,b7953ae0,5,0.224522115,0.038961039
67,dcfb953f,0e19c6d7,3,0.380780537,0.03626943
68,dcfb953f,7423155e,3,0.269362583,0.041666667
69,dcfb953f,58f27b54,3,0.425341103,0.066666667
70,063e6a6a,a2f45214,4,0.392366774,0.038961039
71,063e6a6a,813d0089,4,0.353682148,0.033591731
72,063e6a6a,3f021d45,4,0.302807039,0.023017903
73,81eb53b1,3c9ad551,4,0.290976141,0.044386423
74,81eb53b1,9659dbdf,4,0.379503391,0.078167116
75,c593bb1f,be37cceb,4,0.212800311,0.020408163
76,c593bb1f,1aaf1991,4,0.181849044,0.017811705
77,c5da9938,80def0a3,4,0.206536266,0.023017903
78,c5da9938,2b7e9cac,5,0.254076759,0.030927835
79,c5da9938,6dceabd7,4,0.156712678,0.015228426
80,8fa0d446,5ef620ff,4,0.341104479,0.03626943
81,8fa0d446,e5397f14,3,0.323306887,0.033591731
82,8fa0d446,363709c1,4,0.3715898,0.047120419
83,8fa0d446,74fdc787,5,0.350748571,0.041666667
84,b1d0506c,3c9ad551,2,0.215333808,0.020408163
85,b1d0506c,bc23b8b0,3,0.280827275,0.03626943
86,b1d0506c,9659dbdf,3,0.294161404,0.028277635
87,b1d0506c,053697fd,4,0.280539547,0.033591731
88,0fc4f699,e168c4a2,4,0.293673511,0.044386423
89,0fc4f699,363709c1,4,0.286495411,0.041666667
90,0fc4f699,343f4d30,4,0.166778817,0.020408163
91,0fc4f699,dc76224c,4,0.281831643,0.047120419
92,d0b25b59,e053886e,4,0.197696126,0.023017903
93,d0b25b59,1ccbff33,4,0.269114574,0.028277635
94,3b920848,9c321150,4,0.467465188,0.08401084
95,3b920848,8f8541b0,4,0.421428151,0.08401084
96,3b920848,4f593caa,4,0.276170104,0.033591731
97,fa81a89a,ef76d932,5,0.458665761,0.055408971
98,fa81a89a,8f38ba1b,4,0.389162253,0.049868766
99,fa81a89a,ec65f731,5,0.457523308,0.08401084
100,760ca7f1,e559aefa,2,0.126280047,0.017811705
101,760ca7f1,5512c555,3,0.124631654,0.015228426
102,760ca7f1,4f593caa,2,0.163018597,0.023017903
103,eafb7367,a3f1d183,3,0.322509272,0.041666667
104,eafb7367,85eb108b,4,0.416480862,0.041666667
105,eafb7367,e2bc8ca5,5,0.385484831,0.044386423
106,eafb7367,efe27bdf,3,0.378916911,0.052631579
107,12f666f0,1dd768de,5,0.326827982,0.03626943
108,12f666f0,3f021d45,5,0.213234035,0.017811705
109,8f0e1ab3,b0103360,4,0.178246974,0.020408163
110,8f0e1ab3,8f93f461,4,0.219372724,0.020408163
111,8f0e1ab3,36216009,3,0.205306784,0.025641026
112,569c475d,3673a16a,5,0.300474505,0.028277635
113,569c475d,7aa75950,4,0.353045904,0.049868766
114,ba671c3b,363709c1,3,0.266937068,0.025641026
115,ba671c3b,8f38ba1b,3,0.223547438,0.023017903
116,15a022e2,5f3a799b,5,0.30177856,0.044386423
117,15a022e2,dc2de67e,5,0.259948077,0.03626943
118,15a022e2,f107ba2d,5,0.289856961,0.047120419
119,c9db9ac7,edbd48c8,4,0.298368565,0.049868766
120,fb4bc145,95903604,4,0.289106495,0.041666667
121,fb4bc145,5512c555,4,0.378066251,0.078167116
122,12b952c8,813d0089,3,0.179812346,0.017811705
123,12b952c8,e6e6ae79,5,0.089479548,0.007556675
124,daef2cb1,c674de1d,4,0.284165616,0.033591731
125,daef2cb1,053697fd,4,0.20720794,0.020408163
126,06cdc875,ee2c7bfa,5,0.258770267,0.033591731
127,06cdc875,3db72604,5,0.303736898,0.030927835
128,06cdc875,6f586a94,4,0.152486242,0.015228426
129,0b82060b,a3f1d183,4,0.224405954,0.044386423
130,0b82060b,2b7e9cac,4,0.277451435,0.038961039
131,d71023c0,9c321150,4,0.465748365,0.075268817
132,d71023c0,8f8541b0,3,0.409757907,0.055408971
133,2e7bedc3,06df0537,4,0.364177026,0.044386423
134,2e7bedc3,487aa975,4,0.40591099,0.049868766
135,2e7bedc3,be3eb2ec,4,0.353745244,0.033591731
136,2e7bedc3,0abcd0d5,4,0.3211258,0.030927835
137,bbf44740,8bd4964d,5,0.382300159,0.033591731
138,bbf44740,487aa975,5,0.315673661,0.041666667
139,bbf44740,947de04b,5,0.302979866,0.03626943
140,bbf44740,0e19c6d7,5,0.37682553,0.03626943
141,bbf44740,be3eb2ec,5,0.244997079,0.033591731
142,bbf44740,0abcd0d5,5,0.219363499,0.023017903
143,bbf44740,74fdc787,5,0.288614361,0.023017903
144,0a59df38,413f2ba7,5,0.17955663,0.020408163
145,0a59df38,643c30f7,5,0.427380952,0.075268817
146,0a59df38,be3eb2ec,5,0.351186997,0.061007958
147,6f4e935b,b0103360,4,0.180420063,0.023017903
148,6f4e935b,fb131bc5,4,0.26494037,0.023017903
